2016-03-10 22:19:21 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:19:23 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:19:25 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:19:27 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:19:29 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:19:31 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:19:33 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:19:35 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:19:37 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:19:39 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:19:41 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:19:43 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:19:45 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:19:47 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:19:49 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:19:51 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:19:53 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:19:55 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:19:57 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:19:59 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:20:01 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:20:03 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:20:05 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:20:07 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:20:09 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:20:11 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:20:13 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:20:15 - Arduino state updated to weight:125g_temperature:39C;

